Ticker,Year,Life_Cycle_Stage,Operating_CF,Investing_CF,Financing_CF
AAPL,2020,Maturity,80674000000.0,-4289000000.0,-86820000000.0
AAPL,2021,Maturity,104038000000.0,-14545000000.0,-93353000000.0
AAPL,2022,Maturity,122151000000.0,-22354000000.0,-110749000000.0
AAPL,2023,Shake-out,110543000000.0,3705000000.0,-108488000000.0
AAPL,2024,Shake-out,118254000000.0,2935000000.0,-121983000000.0
MSFT,2020,Maturity,60675000000.0,-12223000000.0,-46031000000.0
MSFT,2021,Maturity,76740000000.0,-27577000000.0,-48486000000.0
MSFT,2022,Maturity,89035000000.0,-30311000000.0,-58876000000.0
MSFT,2023,Maturity,87582000000.0,-22680000000.0,-43935000000.0
MSFT,2024,Maturity,118548000000.0,-96970000000.0,-37757000000.0
NVDA,2020,Shake-out,4761000000.0,6145000000.0,-792000000.0
NVDA,2021,Growth,5822000000.0,-19675000000.0,3804000000.0
NVDA,2022,Growth,9108000000.0,-9830000000.0,1865000000.0
NVDA,2023,Shake-out,5641000000.0,7375000000.0,-11617000000.0
NVDA,2024,Maturity,28090000000.0,-10566000000.0,-13633000000.0
AVGO,2020,Growth,12061000000.0,-11109000000.0,1611000000.0
AVGO,2021,Maturity,13764000000.0,-245000000.0,-8974000000.0
AVGO,2022,Maturity,16736000000.0,-667000000.0,-15816000000.0
AVGO,2023,Maturity,18085000000.0,-689000000.0,-15623000000.0
AVGO,2024,Maturity,19962000000.0,-23070000000.0,-1733000000.0
ORCL,2020,Shake-out,13139000000.0,9843000000.0,-6132000000.0
ORCL,2021,Maturity,15887000000.0,-13098000000.0,-10378000000.0
ORCL,2022,Shake-out,9539000000.0,11220000000.0,-29126000000.0
ORCL,2023,Growth,17165000000.0,-36484000000.0,7910000000.0
ORCL,2024,Maturity,18673000000.0,-7360000000.0,-10554000000.0
ASML,2020,Data Missing,,,
ASML,2021,Data Missing,,,
ASML,2022,Data Missing,,,
ASML,2023,Data Missing,,,
ASML,2024,Data Missing,,,
CRM,2020,Growth,4331000000.0,-2980000000.0,164000000.0
CRM,2021,Growth,4801000000.0,-3971000000.0,1194000000.0
CRM,2022,Growth,6000000000.0,-14536000000.0,7838000000.0
CRM,2023,Maturity,7111000000.0,-1989000000.0,-3562000000.0
CRM,2024,Maturity,10234000000.0,-1327000000.0,-7477000000.0
PLTR,2020,Introduction,-296608000.0,-14920000.0,1036453000.0
PLTR,2021,Growth,333851000.0,-397912000.0,306747000.0
PLTR,2022,Growth,223737000.0,-45427000.0,85996000.0
PLTR,2023,Growth,712183000.0,-2711180000.0,218839000.0
PLTR,2024,Growth,1153865000.0,-340655000.0,463364000.0
CSCO,2020,Shake-out,15426000000.0,3500000000.0,-18856000000.0
CSCO,2021,Maturity,15454000000.0,-5285000000.0,-12097000000.0
CSCO,2022,Shake-out,13226000000.0,1553000000.0,-15962000000.0
CSCO,2023,Maturity,19886000000.0,-5107000000.0,-11626000000.0
CSCO,2024,Growth,10880000000.0,-20478000000.0,6844000000.0
IBM,2020,Maturity,18197000000.0,-3028000000.0,-9721000000.0
IBM,2021,Maturity,12796000000.0,-5975000000.0,-13354000000.0
IBM,2022,Maturity,10435000000.0,-4202000000.0,-4958000000.0
IBM,2023,Maturity,13931000000.0,-7070000000.0,-1769000000.0
IBM,2024,Maturity,13445000000.0,-4937000000.0,-7079000000.0
ACN,2020,Maturity,8215152000.0,-1894519000.0,-4049092000.0
ACN,2021,Maturity,8975148000.0,-4309766000.0,-4926337000.0
ACN,2022,Maturity,9541129000.0,-4260629000.0,-5311026000.0
ACN,2023,Maturity,9524268000.0,-2622470000.0,-5645326000.0
ACN,2024,Maturity,9131027000.0,-7061818000.0,-6063508000.0
NOW,2020,Growth,1786000000.0,-1507000000.0,597000000.0
NOW,2021,Maturity,2191000000.0,-1607000000.0,-506000000.0
NOW,2022,Maturity,2723000000.0,-2583000000.0,-344000000.0
NOW,2023,Maturity,3398000000.0,-2167000000.0,-803000000.0
NOW,2024,Maturity,4267000000.0,-2501000000.0,-1343000000.0
INTU,2020,Growth,2414000000.0,-97000000.0,2034000000.0
INTU,2021,Maturity,3250000000.0,-3965000000.0,-3176000000.0
INTU,2022,Growth,3889000000.0,-5421000000.0,1732000000.0
INTU,2023,Maturity,5046000000.0,-922000000.0,-4269000000.0
INTU,2024,Maturity,4884000000.0,-227000000.0,-397000000.0
AMD,2020,Growth,1071000000.0,-952000000.0,6000000.0
AMD,2021,Shake-out,3521000000.0,686000000.0,1895000000.0
AMD,2022,Shake-out,3565000000.0,1999000000.0,-3264000000.0
AMD,2023,Maturity,1667000000.0,-1423000000.0,-1146000000.0
AMD,2024,Maturity,3041000000.0,-1101000000.0,-2062000000.0
UBER,2020,Introduction,-2745000000.0,-2869000000.0,1379000000.0
UBER,2021,Introduction,-445000000.0,-1201000000.0,1780000000.0
UBER,2022,Growth,642000000.0,-1637000000.0,15000000.0
UBER,2023,Maturity,3585000000.0,-3226000000.0,-95000000.0
UBER,2024,Maturity,7137000000.0,-3177000000.0,-2087000000.0
QCOM,2020,Maturity,5814000000.0,-5263000000.0,-5707000000.0
QCOM,2021,Maturity,10536000000.0,-3356000000.0,-6798000000.0
QCOM,2022,Maturity,9096000000.0,-5804000000.0,-7196000000.0
QCOM,2023,Shake-out,11299000000.0,762000000.0,-6663000000.0
QCOM,2024,Maturity,12202000000.0,-3623000000.0,-9269000000.0
ADBE,2020,Maturity,5727000000.0,-414000000.0,-3488000000.0
ADBE,2021,Maturity,7230000000.0,-3537000000.0,-4301000000.0
ADBE,2022,Maturity,7838000000.0,-570000000.0,-6825000000.0
ADBE,2023,Shake-out,7302000000.0,776000000.0,-5182000000.0
ADBE,2024,Shake-out,8056000000.0,149000000.0,-7724000000.0
SONY,2020,Data Missing,,,
SONY,2021,Data Missing,,,
SONY,2022,Data Missing,,,
