Variable,N,Mean,St. Dev.,Min,Max
ev_sales,379,5.60,10.99,0.01,186.85
roa,379,0.00,0.15,-0.68,0.41
current_ratio,379,2.30,1.51,0.47,9.43
debt_assets,379,0.27,0.21,0.00,1.07
asset_turnover,379,0.70,0.37,0.14,1.91
revenue_growth,379,0.12,0.35,-0.49,4.05
r_and_d_ratio,379,0.14,0.09,0.00,0.52
capex_ratio,379,0.02,0.02,0.00,0.13
ocf_margin,379,0.13,0.19,-1.17,0.47
log_ev_sales,379,1.55,0.73,0.01,5.24
log_total_assets,379,21.59,2.10,16.01,26.53
lifecycle_stage_Decline,379,0.16,0.37,0.00,1.00
lifecycle_stage_Early,379,0.28,0.45,0.00,1.00
lifecycle_stage_Maturity,379,0.56,0.50,0.00,1.00
