Ticker,Year,Market_Capitalization,Total_Debt,Cash_Equivalents,Enterprise_Value
AAPL,2020,2155937103903.61,190474000000.0,38016000000.0,2308395103903.6104
AAPL,2021,2845649561613.6465,207773000000.0,34940000000.0,3018482561613.6465
AAPL,2022,2205900531085.218,208065000000.0,23646000000.0,2390319531085.218
AAPL,2023,3041465425774.196,194240000000.0,29965000000.0,3205740425774.196
AAPL,2024,3817934046133.9497,181031000000.0,29943000000.0,3969022046133.9497
MSFT,2020,1606912663914.4534,126240000000.0,13576000000.0,1719576663914.4534
MSFT,2021,2460037430507.115,109652000000.0,14224000000.0,2555465430507.115
MSFT,2022,1820823186699.64,97106000000.0,13931000000.0,1903998186699.64
MSFT,2023,2766752321110.5347,89022000000.0,34704000000.0,2821070321110.5347
MSFT,2024,3279083527053.452,84678000000.0,18315000000.0,3345446527053.452
NVDA,2020,8037417360.305786,,10896000000.0,
NVDA,2021,18420240931.193035,8954000000.0,847000000.0,26527240931.193035
NVDA,2022,40376393925.91658,17909000000.0,1990000000.0,56295393925.91658
NVDA,2023,119457394448.85254,21899000000.0,3389000000.0,137967394448.85254
NVDA,2024,338571210388.1836,20662000000.0,7280000000.0,351953210388.1836
AVGO,2020,15231000585.556028,70246000000.0,7618000000.0,77859000585.55603
AVGO,2021,23643199050.540016,79675000000.0,12163000000.0,91155199050.54001
AVGO,2022,21846956418.99109,,12416000000.0,
AVGO,2023,43076352966.30859,,14189000000.0,
AVGO,2024,909407554407.1198,,9348000000.0,
ORCL,2020,211540999704.99677,6865000000.0,37239000000.0,181166999704.99677
ORCL,2021,259436035659.06345,10621000000.0,30098000000.0,239959035659.06345
ORCL,2022,214076230744.13483,11999000000.0,21383000000.0,204692230744.13483
ORCL,2023,285150516426.4679,7810000000.0,9765000000.0,283195516426.4679
ORCL,2024,478123024263.0005,14666000000.0,10454000000.0,482335024263.0005
ASML,2020,,,,
ASML,2021,,,,
ASML,2022,,,,
ASML,2023,,,,
ASML,2024,,,,
CRM,2020,194249372450.51065,11192000000.0,6195000000.0,199246372450.51065
CRM,2021,231750021475.6557,5346000000.0,6195000000.0,230901021475.6557
CRM,2022,125542681686.40137,13265000000.0,5464000000.0,133343681686.40137
CRM,2023,256829777606.9641,20011000000.0,7016000000.0,269824777606.9641
CRM,2024,338383806274.41406,17846000000.0,8472000000.0,347757806274.41406
PLTR,2020,31401517725.201668,594042000.0,2011323000.0,29984236725.201668
PLTR,2021,36069887762.60812,197977000.0,2290674000.0,33977190762.608124
