Ticker,Fiscal Year,Avg_Shares_Outstanding,Avg_Stock_Price,Market_Capitalization
AAOI,2020,22625000.0,8.404285748799643,190146965.06659192
AAOI,2021,26216500.0,5.58000001453218,146288070.3809829
AAOI,2022,27972500.0,2.086190490495591,58355963.49538792
AAOI,2023,33385000.0,20.095250034332274,670879922.396183
AAOI,2024,43770500.0,36.75325031280518,1608708142.8166392
AAPL,2020,17374854000.0,124.08375367664155,2155937103903.61
AAPL,2021,16701774500.0,170.38007318405877,2845649561613.6465
AAPL,2022,16185105500.0,136.29200817289808,2205900531085.218
AAPL,2023,15746743000.0,193.14885787963868,3041465425774.1953
AAPL,2024,15333423500.0,248.99423446655274,3817934046133.9497
ACIW,2020,116549268.5,38.27000009445917,4460340516.504148
ACIW,2021,116421115.5,32.971904663812545,3838625921.120709
ACIW,2022,111899437.0,21.29476174854097,2382871850.7108703
ACIW,2023,108073283.0,29.112499904632568,3146283441.0308285
ACIW,2024,106666325.5,54.010000228881836,5761048264.668984
ACLS,2020,33109000.0,28.786190577915736,953081983.844212
ACLS,2021,33436500.0,66.444761912028,2221680281.671524
ACLS,2022,33007500.0,80.73000008719308,2664695477.8780255
ACLS,2023,32730000.0,130.0774990081787,4257436542.537689
ACLS,2024,32525000.0,73.7,2397092500.0
ADBE,2020,481000000.0,490.9452398390997,236144660362.60696
ADBE,2021,477000000.0,605.3290492466518,288741956490.65295
ADBE,2022,468500000.0,335.68761771065846,157269648897.44348
ADBE,2023,458500000.0,603.568002319336,276735929063.4155
ADBE,2024,448000000.0,486.25550079345703,217842464355.46875
ADEA,2020,77197500.0,7.841220991952079,605322657.5262206
ADEA,2021,104017500.0,7.8062210991269065,811983603.178433
ADEA,2022,104213500.0,9.587233180091495,999119125.013465
ADEA,2023,106275500.0,10.712005472183227,1138423737.5590086
ADEA,2024,107728000.0,13.630229902267455,1468357406.9114685
ADI,2020,368893634.0,132.69285946800596,48949551135.00403
ADI,2021,447407785.5,167.26023283458892,74833530374.73782
ADI,2022,517313306.5,160.37152244931175,82962322546.69244
ADI,2023,502778809.5,188.3818374633789,94714395971.26015
ADI,2024,496279266.0,214.82732467651368,106614347007.2039
ADP,2020,432050000.0,160.04220363071985,69146234078.65251
ADP,2021,426800000.0,219.73411560058594,93782520538.33008
ADP,2022,419900000.0,239.64239356631325,100625841058.49493
ADP,2023,414100000.0,226.43267211914062,93765769524.53613
ADP,2024,410100000.0,295.6598434448242,121250101796.72241
ADSK,2020,219400000.0,290.0361894880022,63633939973.66769
ADSK,2021,219500000.0,272.53142729259673,59820648290.72498
ADSK,2022,218900000.0,193.47237941196985,42351103853.280205
ADSK,2023,216500000.0,234.16799926757812,50697371841.430664
ADSK,2024,214500000.0,301.6119979858398,64695773567.96264
ADTN,2020,48130500.0,13.691345305669875,658971295.2345439
ADTN,2021,48652000.0,20.373744419642858,991223413.5044643
ADTN,2022,63476000.0,18.942579178583053,1202399155.9397378
ADTN,2023,78281500.0,6.68100004196167,522998704.78482246
ADTN,2024,78946000.0,8.4739999294281,668988398.4286308
AEHR,2020,22888.0,2.1552380947839644,49329.089513415376
AEHR,2021,23416.0,17.46809518904913,409032.9169467744
AEHR,2022,25422.5,23.047142755417596,585915.9866996038
AEHR,2023,27829500.0,26.826999950408936,746581995.1199055
AEHR,2024,28767000.0,13.429500007629395,386326426.7194748
AEVA,2020,6942999.5,71.3380953470866,495300360.32577455
AEVA,2021,150480688.0,43.35952413649786,6524771023.412804
AEVA,2022,215051584.0,7.378571419488816,1586773471.4181983
AEVA,2023,230700917.33333334,3.5079999685287477,809298810.7448866
AEVA,2024,53264500.0,4.392000007629394,233937684.40637589
AEYE,2020,9503500.0,21.91523806254069,208271464.92735547
AEYE,2021,10782500.0,7.3480952353704545,79230836.87538193
AEYE,2022,11493000.0,4.238095215388706,48708428.3104624
AEYE,2023,11631000.0,4.421499967575073,51426466.12286568
AEYE,2024,11998000.0,19.240000009536743,230841520.11442184
AGYS,2020,23555295.5,39.502380916050505,930490255.4311303
AGYS,2021,23810062.5,44.203332991827104,1052484121.2437153
AGYS,2022,24369629.5,70.99999945504325,1730243681.219606
AGYS,2023,25027579.0,84.86550102233886,2123978031.2111666
AGYS,2024,26351744.0,134.5620002746582,3545943383.3657227
AI,2021,3499992.0,32.394761857532316,113381407.34326825
AIFF,2020,11236760.0,37.74285716102237,424107427.6326897
AIFF,2021,14250728.5,122.61428578694661,1747342896.971185
AIFF,2022,18202622.5,16.585714385623024,301903497.85431534
AIFF,2023,1964867.5,4.94850001335144,9723146.849983811
AIFF,2024,5900305.0,2.838000011444092,16745065.657523634
AIOT,2020,30422000.0,7.059047630855015,214750347.02587128
AIOT,2021,33491500.0,5.509047644478934,184506269.18506622
AIOT,2022,36026000.0,2.4742857161022367,89138617.20829917
AIOT,2023,36699500.0,2.571999979019165,94391113.23001385
AIP,2021,25008835.5,22.656666801089333,566616853.0067544
AIP,2022,33078278.5,4.073809578305199,134754607.78714693
AIP,2023,36072229.0,5.743000030517578,207162812.24783707
AIP,2024,39121759.5,9.561499977111817,374062702.563824
AIRG,2020,9732500.0,14.73714288075765,143429243.08697385
AIRG,2021,9940500.0,10.387142908005487,103253394.07702854
AIRG,2022,10161500.0,6.8636190096537275,69744664.56659636
AIRG,2023,10347500.0,3.3549999952316285,34715862.450659275
AIRG,2024,10999000.0,7.9835000276565555,87810516.80419445
AISP,2023,18099696.0,8.332399952411652,150813906.08906537
AISP,2024,26700230.5,3.9960000038146974,106694121.1798533
AISPW,2023,18099696.0,,
AISPW,2024,26700230.5,,
AKAM,2020,162355281.5,104.96809496198382,17042124606.071615
AKAM,2021,161610915.5,114.45238058907645,18496754008.155075
AKAM,2022,158503463.5,87.3028571719215,13837805235.195374
AKAM,2023,153863862.0,117.54100074768067,18085312318.383034
AKAM,2024,150629002.0,97.48150024414062,14683541095.237658
ALAB,2024,102032000.0,126.34650001525878,12891386089.556885
ALGM,2021,94794080.5,33.809047789800736,3204897597.8147182
ALGM,2022,190030878.0,31.047618865966797,5900006272.909035
ALGM,2023,191113943.5,29.19050006866455,5578711580.859503
ALGM,2024,192459450.5,21.730000019073486,4182143863.0358725
ALKT,2021,47432093.0,21.24428567432222,1007660933.8230193
ALKT,2022,91033703.0,13.619523820422945,1239835686.4698076
ALKT,2023,94417423.5,23.4185001373291,2211114445.2010098
ALKT,2024,99405440.5,38.95149974822998,3871990990.60844
ALMU,2022,8144281.333333333,,
ALMU,2023,11733751.0,2.6105000138282777,30630957.147757567
ALMU,2024,12497962.0,6.269750082492829,78359098.28049223
ALNT,2020,9676500.0,31.54807272411528,305274925.7149015
ALNT,2021,14996500.0,36.76979355585007,551418209.0603056
ALNT,2022,15669500.0,34.613184429350355,542371293.4157054
ALNT,2023,16143000.0,29.22045373916626,471705784.71136093
ALNT,2024,16559000.0,25.330137634277342,419441749.08599854
ALRM,2020,49092166.5,87.25047629220145,4283314909.3410563
ALRM,2021,49871536.5,80.56619044712612,4017959707.5498013
ALRM,2022,49856081.0,49.61095246814546,2473407664.7390103
ALRM,2023,49660442.0,59.96275043487549,2977776690.131609
ALRM,2024,49743260.5,65.5859998703003,3262461476.701314
ALTS,2020,1874515.0,4.294285694758098,8049702.949109475
ALTS,2022,2663758.0,1.8166666655313402,4839160.363642432
ALTS,2023,3892528.5,0.5600000008940696,2179815.963480192
ALTS,2024,9122551.5,3.584999942779541,32704346.605503414
AMAT,2020,915000000.0,83.81973121279762,76695054059.70982
AMAT,2021,903000000.0,147.99382672991072,133638425537.10938
AMAT,2022,868000000.0,101.79619671049572,88359098744.71028
AMAT,2023,838500000.0,155.2567451477051,130182780806.35072
AMAT,2024,825500000.0,169.9241065979004,140272349996.56677
AMBA,2020,33054574.5,89.92619069417317,2972471969.801754
AMBA,2021,34676524.5,200.10523986816406,6938954252.866768
AMBA,2022,36425129.0,80.2095235188802,2921642241.2037454
AMBA,2023,38172909.0,60.985999488830565,2328013008.7611756
AMBA,2024,39781779.0,72.2939998626709,2875983925.562804
AMD,2020,1190500000.0,93.26761917840867,111035100631.89552
AMD,2021,1209000000.0,143.47047642299108,173455805995.3962
AMD,2022,1409500000.0,68.089047568185,95971512547.35675
AMD,2023,1614000000.0,134.97449989318847,217848842827.60617
AMD,2024,1619000000.0,129.45199966430664,209582787456.51245
AMKR,2020,241817000.0,14.258661905924479,3447986846.1049395
AMKR,2021,243572000.0,21.944085802350724,5344964867.050171
AMKR,2022,244703000.0,24.572121847243537,6012871932.386035
AMKR,2023,245489500.0,30.65975923538208,7526648964.814329
AMKR,2024,246286000.0,26.143214321136476,6438707682.295418
AMOD,2024,7977626.0,7.259749960899353,57915570.041569665
AMPG,2020,2727671.3333333335,,
AMPG,2021,5103603.666666667,3.7014285836900984,18890624.491625596
AMPG,2022,6701992.0,2.1184762035097395,14198010.568112647
AMPG,2023,9674613.0,1.7772500038146972,17194205.991155718
AMPG,2024,14685536.5,2.308600002527237,33903029.60101383
AMST,2021,18401751.0,13.5371428444272,249107131.87458107
AMST,2022,23528719.0,2.966285716919672,69792903.1071165
AMST,2023,2354282.0,2.0373999953269957,4796614.13579843
AMST,2024,2542440.0,4.087000000476837,10390952.28121233
AMZE,2022,12466135.0,1.253285703204927,15623628.769722551
AMZE,2023,14354242.0,0.7795000046491622,11189131.7057352
AMZE,2024,16344812.5,0.6502000004053116,10627397.094124742
ANET,2020,76281500.0,17.585297539120628,1341432874.2304301
ANET,2021,306188500.0,33.333333333333336,10206283333.333334
ANET,2022,307285500.0,31.58023825145903,9704149301.218714
ANET,2023,309567500.0,57.28487491607666,17733535515.58256
ANET,2024,1255158000.0,109.51699943542481,137461137977.36893
AOSL,2020,24911000.0,24.60476185026623,612929222.451982
