Variable,Model 1.1,Model 1.2,Model 1.3
const,"0.424
(0.497)","0.526
(0.507)","0.749
(0.509)"
roa,"-0.246
(0.519)","-0.146
(0.511)","-1.007*
(0.589)"
current_ratio,"0.047**
(0.020)","0.046**
(0.021)","0.038*
(0.021)"
debt_assets,"0.450***
(0.150)","0.473***
(0.146)","0.563***
(0.137)"
asset_turnover,"-0.527***
(0.137)","-0.543***
(0.138)","-0.609***
(0.131)"
log_total_assets,"0.037*
(0.019)","0.037**
(0.019)","0.028
(0.018)"
revenue_growth,"0.382*
(0.218)","0.347
(0.216)","0.335*
(0.202)"
r_and_d_ratio,"2.502***
(0.398)","2.577***
(0.392)","2.344***
(0.404)"
capex_ratio,"-1.361
(1.064)","-1.554
(1.063)","-1.707*
(1.006)"
ocf_margin,"0.769*
(0.450)","0.751
(0.470)","0.843*
(0.466)"
lifecycle_stage_Maturity,,"-0.100
(0.078)","-0.147*
(0.082)"
lifecycle_stage_Decline,,"-0.213**
(0.100)","-0.172*
(0.099)"
roa_maturity,,,"2.651***
(0.708)"
roa_decline,,,"0.944
(0.828)"
Observations,379,379,379
Companies,126,126,126
R²,0.337,0.345,0.390
Adjusted R²,0.312,0.316,0.359
Year FE,Yes,Yes,Yes
